nft_id,sales,volume_eth,min_price,max_price,distinct_txs,top_pair_a,top_pair_b,top_pair_sales,dominance_pct,pair_confidence,pair_structure,token_structure,collection,token_id
0x4e1f41613c9084fdb9e34e11fae9412427480e56:8284,105,22277,53,343.2,105,0x26fd02908adc0df38d33c9d36f02ae5fe847362a,0xe6f3fd8abb61ca6417d386e67e9596c3492d49a4,55,52.38095238095238,high,ring_member,few_pair_dominated,Terraforms,8284
0x4e1f41613c9084fdb9e34e11fae9412427480e56:8634,105,1456,4.8,25.4,105,0x679d8c0039b68e19170aa5b0244e4dca6eafb38b,0xd1070b725dca993c9ccdaf80c6e7c57d626f3f56,105,100,medium,bilateral_mill,single_pair_dominated,Terraforms,8634
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:18036,100,59201,100,900,100,0x0abd70eb980a55d9221e186b9b150539166fc679,0xaddb186047b8fd97d64c808f0b8df6589376f256,69,69,high,bilateral_mill,few_pair_dominated,Meebits,18036
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:18277,97,19162,67.06162038,289.89,97,0x1407930f5ff83ff94532885557b334c74b3afc42,0xcaee6d433f36031b87d6e3c06395131a823314f3,15,15.463917525773196,medium,mesh_cluster,mesh_inventory,Meebits,18277
0x4e1f41613c9084fdb9e34e11fae9412427480e56:9254,96,21679,78.4,350,96,0x26fd02908adc0df38d33c9d36f02ae5fe847362a,0xe6f3fd8abb61ca6417d386e67e9596c3492d49a4,50,52.083333333333336,high,ring_member,few_pair_dominated,Terraforms,9254
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:13531,89,17471,63.11786061,286.5,89,0x1407930f5ff83ff94532885557b334c74b3afc42,0xcaee6d433f36031b87d6e3c06395131a823314f3,17,19.10112359550562,medium,mesh_cluster,mesh_inventory,Meebits,13531
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:283,89,5222,3.4,72.22,89,0x461a3dbe957486696ddf1147e9e0053da93571c2,0x76686847a10a6d88f3bc890b4f7ab3dfad2e57d5,85,95.50561797752809,medium,bilateral_mill,single_pair_dominated,Meebits,283
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7:5737,88,11886,9.7,243,88,0x26fd02908adc0df38d33c9d36f02ae5fe847362a,0x845291611c8688e5a9ad2850536dd0f6980b6125,75,85.22727272727273,high,ring_member,single_pair_dominated,Loot,5737
0x4e1f41613c9084fdb9e34e11fae9412427480e56:8007,86,4282,7.8,128,86,0x2b43aec1a9af8e63e56f9b56e4ab37348bfad139,0x7fbeaca8294771734b34911a108d1e36126863fc,86,100,medium,bilateral_mill,single_pair_dominated,Terraforms,8007
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:10255,83,12666,3.65,179.9,83,0x59acb0015b7c5ec9c1b955109c4ab34e4d4356a8,0x6179e5e81c6833f2b55c7372d02d5d6dd2843cc4,80,96.3855421686747,medium,bilateral_mill,single_pair_dominated,Meebits,10255
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:3440,79,11446,75,198.279,79,0x1beaa793c4df62246ed4af13eaf00b31dbb55a22,0x85d105ca349bc896c580c711258b3a75de71f5cf,79,100,medium,bilateral_mill,single_pair_dominated,Meebits,3440
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7:168,75,10509,19.6,248,75,0x26fd02908adc0df38d33c9d36f02ae5fe847362a,0x845291611c8688e5a9ad2850536dd0f6980b6125,58,77.33333333333333,high,ring_member,single_pair_dominated,Loot,168
